'CPE000ETT14000002', 'Council for Private Education', 'Appointment of External Auditor for Financial Year ending 31 Mar 2015 with option to extend on an annual basis for the next 4 Financial Years', '2015-01-15', 'Awarded to Suppliers', 'FOO KON TAN LLP', '35000'
'CPE000ETT15000007', 'Council for Private Education', 'APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS)', '2015-11-13', 'Awarded to Suppliers', 'DP INFORMATION NETWORK PTE LTD', '150000'
'CPE000ETT15000007', 'Council for Private Education', 'APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS)', '2015-11-13', 'Awarded to Suppliers', 'DUN & BRADSTREET (SINGAPORE) PTE. LTD.', '90000'
'CPE000ETT15000008', 'Council for Private Education', 'APPOINTMENT OF INTERNAL AUDITOR FOR THE COUNCIL FOR PRIVATE EDUCATION FOR ONE FINANCIAL YEAR ENDING 31 MARCH 2016 (FY2015), WITH AN OPTION TO EXTEND ON AN ANNUAL BASIS, FOR THE NEXT TWO FINANCIAL YEARS (FY2016 TO FY2017)', '2015-11-19', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '92120.01'
'CPE000ETT15000009', 'Council for Private Education', 'Indemnity Insurance (Management Liability and Professional Liability)', '2015-12-01', 'Awarded to Suppliers', 'AIG ASIA PACIFIC INSURANCE PTE. LTD.', '224600'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '4098'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'CENTRAL CHAMBERS LAW CORPORATION', '2100'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'FORTIS LAW CORPORATION', '2500'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'KHATTARWONG LLP', '4700'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'LEE & LEE', '4500'
'CPE000ETT14000002', 'Council for Private Education', 'Appointment of External Auditor for Financial Year ending 31 Mar 2015 with option to extend on an annual basis for the next 4 Financial Years', '2015-01-15', 'Awarded to Suppliers', 'FOO KON TAN LLP', '35000'
'CPE000ETT15000007', 'Council for Private Education', 'APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS)', '2015-11-13', 'Awarded to Suppliers', 'DP INFORMATION NETWORK PTE LTD', '150000'
'CPE000ETT15000007', 'Council for Private Education', 'APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS)', '2015-11-13', 'Awarded to Suppliers', 'DUN & BRADSTREET (SINGAPORE) PTE. LTD.', '90000'
'CPE000ETT15000008', 'Council for Private Education', 'APPOINTMENT OF INTERNAL AUDITOR FOR THE COUNCIL FOR PRIVATE EDUCATION FOR ONE FINANCIAL YEAR ENDING 31 MARCH 2016 (FY2015), WITH AN OPTION TO EXTEND ON AN ANNUAL BASIS, FOR THE NEXT TWO FINANCIAL YEARS (FY2016 TO FY2017)', '2015-11-19', 'Awarded to Suppliers', 'ERNST & YOUNG ADVISORY PTE. LTD.', '92120.01'
'CPE000ETT15000009', 'Council for Private Education', 'Indemnity Insurance (Management Liability and Professional Liability)', '2015-12-01', 'Awarded to Suppliers', 'AIG ASIA PACIFIC INSURANCE PTE. LTD.', '224600'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'ALLEN & GLEDHILL LLP', '4098'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'CENTRAL CHAMBERS LAW CORPORATION', '2100'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'FORTIS LAW CORPORATION', '2500'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'KHATTARWONG LLP', '4700'
'CPE000ETT16000001', 'Council for Private Education', 'Provision of Legal Services for a period of 2 years with option to extend for 2 further years', '2016-05-20', 'Awarded to Suppliers', 'LEE & LEE', '4500'
'CPE000ETT14000002', 'Council for Private Education', 'Appointment of External Auditor for Financial Year ending 31 Mar 2015 with option to extend on an annual basis for the next 4 Financial Years', '2015-01-15', 'Awarded to Suppliers', 'FOO KON TAN LLP', '35000'
'CPE000ETT15000007', 'Council for Private Education', 'APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS)', '2015-11-13', 'Awarded to Suppliers', 'DP INFORMATION NETWORK PTE LTD', '150000'
'CPE000ETT15000007', 'Council for Private Education', 'APPOINTMENT OF CREDIT RATING SERVICE PROVIDER (S) FOR PRIVATE EDUCATION INSTITUTIONS ( FOR AN INITIAL PERIOD OF 24 MONTHS WITH AN OPTION FOR A FURTHER 24 MONTHS)', '2015-11-13', 'Awarded to Suppliers', 'DUN & BRADSTREET (SINGAPORE) PTE. LTD.', '90000'
